Date, Time, Temperature, Humidity, Signal for fan
[dd/mm/yy],[hh:mm:ss],[°C],[%], [-]
02/05/17, 11:32:15, 55, 18, 1
02/05/17, 11:32:51, 55, 18, 1
02/05/17, 11:33:24, 55, 18, 1
02/05/17, 11:33:54, 55, 18, 1
02/05/17, 11:34:29, 55, 18, 1
02/05/17, 11:35:03, 55, 18, 1
02/05/17, 11:35:45, 55, 18, 1
02/05/17, 11:36:16, 55, 18, 1
02/05/17, 11:36:47, 55, 17, 1
02/05/17, 11:37:18, 55, 18, 1
02/05/17, 11:37:49, 55, 18, 1
02/05/17, 11:38:23, 55, 18, 1
02/05/17, 11:38:55, 55, 18, 1
02/05/17, 11:39:26, 55, 18, 1
02/05/17, 11:39:56, 55, 18, 1
02/05/17, 11:40:32, 55, 18, 1
02/05/17, 11:41:02, 55, 18, 1
02/05/17, 11:41:33, 55, 17, 1
02/05/17, 11:42:04, 55, 18, 1
02/05/17, 11:42:46, 55, 18, 1
02/05/17, 11:43:17, 55, 18, 1
02/05/17, 11:43:49, 55, 18, 1
02/05/17, 11:44:21, 55, 18, 1
02/05/17, 11:44:55, 55, 18, 1
02/05/17, 11:45:31, 55, 18, 1
02/05/17, 11:46:01, 55, 18, 1
02/05/17, 11:46:31, 55, 18, 1
02/05/17, 11:47:02, 55, 18, 1
02/05/17, 11:47:32, 55, 18, 1
02/05/17, 11:48:06, 55, 18, 1
02/05/17, 11:48:36, 55, 18, 1
02/05/17, 11:49:07, 55, 18, 1
02/05/17, 11:49:37, 55, 18, 1
02/05/17, 11:50:09, 55, 18, 1
02/05/17, 11:50:40, 55, 18, 1
02/05/17, 11:51:11, 55, 18, 1
02/05/17, 11:51:41, 55, 18, 1
02/05/17, 11:52:15, 55, 18, 1
02/05/17, 11:52:45, 55, 18, 1
02/05/17, 11:53:15, 55, 18, 1
02/05/17, 11:53:45, 55, 18, 1
02/05/17, 11:54:15, 55, 18, 1
02/05/17, 11:54:45, 55, 18, 1
02/05/17, 11:55:17, 55, 18, 1
02/05/17, 11:55:57, 55, 18, 1
02/05/17, 11:56:27, 55, 18, 1
02/05/17, 11:57:00, 55, 18, 1
02/05/17, 11:57:31, 55, 18, 1
02/05/17, 11:58:06, 55, 18, 1
02/05/17, 11:58:37, 55, 18, 1
02/05/17, 11:59:08, 55, 18, 1
02/05/17, 11:59:39, 55, 18, 1
02/05/17, 12:00:09, 55, 18, 1
02/05/17, 12:00:42, 55, 18, 1
02/05/17, 12:01:13, 55, 18, 1
02/05/17, 12:01:47, 55, 18, 1
02/05/17, 12:02:26, 55, 18, 1
02/05/17, 12:02:57, 55, 18, 1
02/05/17, 12:03:27, 55, 18, 1
02/05/17, 12:03:58, 55, 18, 1
02/05/17, 12:04:28, 55, 18, 1
02/05/17, 12:04:58, 55, 18, 1
02/05/17, 12:05:31, 55, 18, 1
02/05/17, 12:06:01, 55, 18, 1
02/05/17, 12:06:31, 55, 18, 1
02/05/17, 12:07:01, 55, 18, 1
02/05/17, 12:07:32, 55, 18, 1
02/05/17, 12:08:06, 55, 18, 1
02/05/17, 12:08:36, 55, 18, 1
02/05/17, 12:09:06, 55, 18, 1
02/05/17, 12:09:38, 55, 18, 1
02/05/17, 12:10:08, 55, 18, 1
02/05/17, 12:10:38, 55, 18, 1
02/05/17, 12:11:08, 55, 18, 1
02/05/17, 12:11:39, 55, 18, 1
02/05/17, 12:12:10, 55, 18, 1
02/05/17, 12:12:40, 55, 18, 1
02/05/17, 12:13:11, 55, 18, 1
02/05/17, 12:13:41, 55, 18, 1
02/05/17, 12:14:22, 55, 18, 1
02/05/17, 12:14:53, 55, 18, 1
02/05/17, 12:15:24, 55, 18, 1
02/05/17, 12:15:55, 55, 18, 1
02/05/17, 12:16:25, 55, 18, 1
02/05/17, 12:16:55, 55, 18, 1
02/05/17, 12:17:26, 55, 18, 1
02/05/17, 12:18:02, 55, 18, 1
02/05/17, 12:18:32, 55, 18, 1
02/05/17, 12:19:04, 55, 18, 1
02/05/17, 12:19:36, 55, 18, 1
02/05/17, 12:20:06, 55, 18, 1
02/05/17, 12:20:36, 55, 18, 1
02/05/17, 12:21:07, 55, 17, 1
